,stock_code,NI,NI_ttm,BV,div,mktcap,mktcap_w,dv_ttm,pb,pe,pe_ttm,total_mv
0,sh603501,116.12653721696408,513.025896609833,2578.8733564246154,1507.7700279759354,26285658.5068,65555.21860764937,0.023,25.4201,564.5154,127.7815,26285658.5068
0,sh688012,10.21289610972645,17.904812775132545,222.09046297311588,0.0,7339379.6161,3975.1083605706117,0.0,17.8986,389.2244,222.0134,7339379.6161
0,sh603068,2.723270645761834,1.580822906195004,21.72046535074596,55.383357543565516,1030411.0171,111.18923417700366,0.4981,5.1191,40.8293,70.3363,1030411.0171
0,sh688008,43.82010995889334,50.126742099122794,373.1262080336089,0.0,10562692.3546,4961.720376568522,0.0,13.2977,113.2293,98.9835,10562692.3546
0,sz002812,341.5795947036013,346.28755239373237,4204.6518665312915,4045.6332363811566,12724891.4432,51145.80576967328,0.0791,12.1641,149.7332,147.6975,12724891.4432
0,sh603179,5.752406345952405,6.9447964837962575,104.27080556988047,284.061504250361,1250578.6058,392.6212912928279,0.7235,3.7654,68.2534,56.5346,1250578.6058
0,sh600399,44.14109172302388,77.83824150857113,713.0767939442242,0.0,2993647.8,4375.225284603576,0.0,6.1357,99.1191,56.2092,2993647.8
0,sz002460,415.6522322075687,417.1817027264426,11326.427069643327,45015.93829184428,18011973.298,209084.71106290887,0.2153,18.4599,503.028,501.1838,18011973.298
0,sz300450,1025.9692241359949,1031.5758677942258,7339.459356316695,19252.952572591494,8819174.9041,118188.78190663902,0.1629,16.1032,115.1972,114.5711,8819174.9041
0,sz300427,8.79107869186294,9.805980785983097,86.27109824035352,177.16859627627375,524483.2043,196.439290693285,0.9019,2.277,22.3453,20.0326,524483.2043
0,sz002850,6.75514303622741,5.383354423266496,111.22371223214206,119.55403460719282,1707306.9058,485.9920105983448,0.246,4.3695,71.944,90.2768,1707306.9058
0,sh600406,20026.705081561846,21881.828848095112,146662.99574612812,618042.7186193431,15612222.4751,719909.9809194445,0.8585,4.9086,35.9475,32.8999,15612222.4751
0,sh600699,178.05417587413064,0.0,2720.1533061261202,1628.2830890087687,3479039.1988,6589.5713840905255,0.2471,2.4225,37.0088,0.0,3479039.1988
0,sz000550,6.621514643017141,15.621657749166014,483.58084250782883,270.67700198590893,1699668.366,761.3980365285765,0.3555,1.5745,114.9885,48.7399,1699668.366
0,sh603179,5.752406345952405,6.9447964837962575,104.27080556988047,284.061504250361,1250578.6058,392.6212912928279,0.7235,3.7654,68.2534,56.5346,1250578.6058
0,sh603186,0.6612326898729389,0.756636262120466,9.208457858593274,14.23419289621759,409374.5892,26.501941717031443,0.5371,2.878,40.0796,35.026,409374.5892
0,sz002460,415.6522322075687,417.1817027264426,11326.427069643327,45015.93829184428,18011973.298,209084.71106290887,0.2153,18.4599,503.028,501.1838,18011973.298
0,sz300083,2.177130831353795,47.02701429262819,505.89147441016223,0.0,1835726.4154,3178.2125988344033,0.0,6.2824,1459.817,67.5827,1835726.4154
0,sz002709,3.8294671098818425,104.34433547516082,772.9539167872879,643.3186308327547,5461294.49,12815.112167983161,0.0502,16.5794,3346.4479,122.8156,5461294.49
0,sh600699,178.05417587413064,0.0,2720.1533061261202,1628.2830890087687,3479039.1988,6589.5713840905255,0.2471,2.4225,37.0088,0.0,3479039.1988
0,sh601799,75.28341341593507,92.02280058303252,506.6589377456408,2631.9364162466763,5854490.9184,5579.682883711419,0.4717,11.0127,74.1157,60.6337,5854490.9184
0,sz000550,6.621514643017141,15.621657749166014,483.58084250782883,270.67700198590893,1699668.366,761.3980365285765,0.3555,1.5745,114.9885,48.7399,1699668.366
0,sz300618,0.8300231577475131,12.945315917094756,230.17552575166644,17.71016760413998,2714237.5151,1624.7860187284384,0.0109,7.0589,1957.5189,125.5115,2714237.5151
0,sz002850,6.75514303622741,5.383354423266496,111.22371223214206,119.55403460719282,1707306.9058,485.9920105983448,0.246,4.3695,71.944,90.2768,1707306.9058
0,sz300677,28.4035264183101,704.8654474011273,946.1868493391991,2296.778121308109,8286828.2542,13199.87426039143,0.174,13.9506,464.7266,18.7268,8286828.2542
0,sz002030,54.60404091041607,917.6840227548336,1990.3399604959384,1181.5383683453485,2941973.7446,17426.819592114287,0.0678,8.7557,319.1489,18.99,2941973.7446
0,sh600216,38.337596966980364,67.46115915622048,840.6854644096909,10718.111813691321,1322225.36,1478.8498004430874,7.2476,1.7591,38.5744,21.9215,1322225.36
0,sh600436,2088.264807298724,2532.4378530507497,11973.317337711147,75153.56533755068,23768284.8052,361141.59220351116,0.2081,30.1622,172.9386,142.6063,23768284.8052
0,sz002332,17.460219627150288,20.337925963690186,178.63172132928682,389.810806794773,1157369.6932,492.43406618844494,0.7916,2.7567,28.2032,24.2126,1157369.6932
0,sh603939,98.74770525825639,130.01523542782348,919.7935076785633,2064.7738052462173,5634089.6552,10231.782979416339,0.2018,11.124,103.6154,78.6968,5634089.6552
0,sz300595,133.31308398597957,154.2274918250266,702.6051233193717,1759.320643204853,7612763.1799,33069.93690234686,0.0532,47.0676,248.0622,214.4231,7612763.1799
0,sz300601,97.16702146264689,97.58770268967814,1284.0899479874802,3412.0226871108084,13932166.5781,23563.692590544255,0.1448,18.3505,242.5071,241.4617,13932166.5781
0,sz300326,52.966900913932854,48.474605984745786,522.966966543079,633.2549471503825,715746.5697,1253.9701923769949,0.505,2.3978,23.6746,25.8686,715746.5697
0,sz000538,8164.799590564313,9552.455965011792,74408.90299373356,747890.2541362012,20540645.3374,400863.0830981408,1.8657,5.3873,49.0965,41.9644,20540645.3374
0,sh601865,18.676854998963165,26.598424706191523,237.73928177590767,330.75056778544416,8095440.9541,2108.0342115069734,0.1569,8.867,112.8688,79.2541,8095440.9541
0,sz000338,16837.911017284838,16925.882824118504,89142.90180520971,419619.40518617234,20128238.0716,372234.01506801415,1.1273,4.1757,22.1069,21.992,20128238.0716
0,sz000100,1036.9770261921703,818.2517422060031,13101.851713052001,51500.879119682046,12810109.7745,50744.78186982171,1.0149,3.8731,48.9353,62.0161,12810109.7745
0,sz300760,1411.389896297806,1921.584480430702,6648.635931634238,54985.36331837262,60122011.56,181290.35053865024,0.3033,27.2673,128.4481,94.3442,60122011.56
0,sh600276,230317.05264283833,252955.23556502516,1271639.472800743,4396855.5603757715,58222350.0877,25168034.117777742,0.1747,19.7918,109.2756,99.496,58222350.0877
0,sh600660,32803.46784696687,25745.49189783582,237643.9787093262,2129347.406986264,15046687.9569,1702932.9870331606,1.2504,7.1659,51.9132,66.1449,15046687.9569
0,sz002508,568.7353207681376,582.0477464614057,2687.5835473457323,16974.553056802757,3779962.7912,13522.307860115316,1.2553,5.0314,23.7761,23.2323,3779962.7912
0,sz000661,3149.1947386390684,4958.1226745914955,17992.416826130142,35899.53250370843,20014227.7811,355089.34227209137,0.1011,19.7355,112.7556,71.6177,20014227.7811
0,sh600031,219485.30358138226,283938.05804862274,1045442.549578054,6909963.975611933,40637482.7665,7958954.129937725,0.8682,7.613,36.2619,28.0306,40637482.7665
0,sh600048,152377.1625768599,157547.40613104473,792428.165541339,5332692.608350515,16553809.2173,902179.4664688145,5.9109,1.1385,5.9207,5.7264,16553809.2173
